N,dataDimension,k,iterations,centroid_initialization,distance_calculation,centroid_update
100,10,2,4,1.9523e-05,0.000272085,1.7344e-05
100,10,10,13,0.000177282,0.00132055,0.00010147
100,100,2,6,4.9123e-05,0.000788936,0.000187488
100,100,10,3,0.00141049,0.00156973,0.000115369
100,1000,2,2,0.000322714,0.00208349,0.000584884
100,1000,10,2,0.0134954,0.00978351,0.000684555
1000,10,2,37,6.7068e-05,0.00720541,0.00146426
1000,10,10,28,0.00164316,0.0231206,0.00210605
1000,100,2,43,0.000345146,0.0446609,0.0129283
1000,100,10,18,0.0139576,0.0873784,0.00675027
1000,1000,2,10,0.0030583,0.0994066,0.0288939
1000,1000,10,8,0.134965,0.353168,0.0237747
10000,10,2,39,0.000567779,0.07022,0.015694
10000,10,10,148,0.0166389,0.938793,0.114876
10000,100,2,126,0.00332718,0.998825,0.383875
10000,100,10,94,0.139933,3.38688,0.32456
10000,1000,2,50,0.0302259,3.91061,1.48648
10000,1000,10,46,1.35645,16.8679,1.34232
100000,10,2,22,0.00547371,0.348579,0.0879566
100000,10,10,207,0.163974,12.6383,1.60723
1000000,10,2,26,0.053048,3.61847,1.04712
1000000,10,10,325,1.64707,198.027,25.3395